Description:,"Celsius-based heating degree days for a base temperature of 18.0C"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Geneve-Cointrin, CH (6.13E,46.25N)"
Station ID:,"LSGG"

Date,HDD,% Estimated
2014-09-01,2.2,0
2014-09-02,2.1,0
2014-09-03,1.9,0
2014-09-04,2.3,0
2014-09-05,1.8,0
2014-09-06,1.7,0
2014-09-07,1,0
2014-09-08,1,0
2014-09-09,0.3,0
2014-09-10,0.7,0
2014-09-11,1.8,0
2014-09-12,2.7,0
2014-09-13,2.2,0
2014-09-14,1.9,0
2014-09-15,2.3,0
2014-09-16,1.5,0
2014-09-17,1.4,0
2014-09-18,0.5,0
2014-09-19,1,0
2014-09-20,1.1,0
2014-09-21,1,0
2014-09-22,2.6,0
2014-09-23,5,0
2014-09-24,5.9,0
2014-09-25,5.1,0
2014-09-26,5.6,0
2014-09-27,4.6,0
2014-09-28,3.8,0
2014-09-29,2.7,0
2014-09-30,1.7,0
2014-10-01,2,0
2014-10-02,3,0
2014-10-03,3.8,0
2014-10-04,3.2,0
2014-10-05,3.8,0
2014-10-06,2.7,0
2014-10-07,2,0
2014-10-08,1.9,0
2014-10-09,2.6,0
2014-10-10,1.5,0
2014-10-11,2.3,0
2014-10-12,3.6,0
2014-10-13,3.9,0
2014-10-14,4.6,0
2014-10-15,3.3,0
2014-10-16,3.3,0
2014-10-17,1.4,0
2014-10-18,4.2,0
2014-10-19,3.7,0
2014-10-20,3.1,0
2014-10-21,1.8,0
2014-10-22,10.4,0
2014-10-23,10.7,0
2014-10-24,9.5,0
2014-10-25,7.4,0
2014-10-26,7.5,0
2014-10-27,6.1,0
2014-10-28,7.1,0
2014-10-29,8.8,0
2014-10-30,8.7,0
2014-10-31,8.8,0
2014-11-01,8.6,0
2014-11-02,7.6,0
2014-11-03,7.4,0
2014-11-04,5.5,0
2014-11-05,11.7,0
2014-11-06,11.2,0
2014-11-07,12.3,0
2014-11-08,12.3,0
2014-11-09,11.3,0
2014-11-10,9,0
2014-11-11,8.7,0
2014-11-12,9,0
2014-11-13,9.4,0
