Lieu;CHANGINS
Paramètre;Rayonnement
Unité;WH/m2
01.09.2014;5208
02.09.2014;5309
03.09.2014;3315
04.09.2014;4608
05.09.2014;4587
06.09.2014;4914
07.09.2014;4787
08.09.2014;4377
09.09.2014;2252
10.09.2014;2992
11.09.2014;3662
12.09.2014;4634
13.09.2014;4745
14.09.2014;4163
15.09.2014;4295
16.09.2014;4510
17.09.2014;3121
18.09.2014;2707
19.09.2014;1493
20.09.2014;3275
21.09.2014;2882
22.09.2014;4399
23.09.2014;4301
24.09.2014;1887
25.09.2014;3635
26.09.2014;3914
27.09.2014;3914
28.09.2014;3799
29.09.2014;1787
30.09.2014;1495
01.10.2014;2349
02.10.2014;3110
03.10.2014;3259
04.10.2014;2970
05.10.2014;2168
06.10.2014;2937
07.10.2014;1159
08.10.2014;1938
09.10.2014;2269
10.10.2014;1609
11.10.2014;1387
12.10.2014;1348
13.10.2014;1068
14.10.2014;2853
15.10.2014;1775
16.10.2014;776
17.10.2014;2723
18.10.2014;3009
19.10.2014;2875
20.10.2014;2313
21.10.2014;1416
22.10.2014;2153
23.10.2014;2799
24.10.2014;2590
25.10.2014;1836
26.10.2014;2603
27.10.2014;974
28.10.2014;1987
29.10.2014;2449
30.10.2014;2337
31.10.2014;2343
01.11.2014;2289
02.11.2014;2150
03.11.2014;459
04.11.2014;272
05.11.2014;230
06.11.2014;1682
07.11.2014;1331
08.11.2014;1909
09.11.2014;914
10.11.2014;391
11.11.2014;684
12.11.2014;306
13.11.2014;1338
14.11.2014;617
15.11.2014;351
16.11.2014;932
17.11.2014;282
18.11.2014;555
19.11.2014;1753
20.11.2014;1700
21.11.2014;887
22.11.2014;476
23.11.2014;466
24.11.2014;976
25.11.2014;393
26.11.2014;683
27.11.2014;409
28.11.2014;740
29.11.2014;304
30.11.2014;665
01.12.2014;230
02.12.2014;336
03.12.2014;647
04.12.2014;513
05.12.2014;500
06.12.2014;680
07.12.2014;324
08.12.2014;904
09.12.2014;1169
10.12.2014;594
11.12.2014;687
12.12.2014;1006
13.12.2014;857
14.12.2014;313
15.12.2014;1006
16.12.2014;713
17.12.2014;204
18.12.2014;401
19.12.2014;1232
20.12.2014;1198
21.12.2014;1416
22.12.2014;1527
23.12.2014;1452
24.12.2014;1187
25.12.2014;1292
26.12.2014;1312
27.12.2014;341
28.12.2014;566
29.12.2014;1019
30.12.2014;1302
31.12.2014;1506
01.01.2015;1037
02.01.2015;798
03.01.2015;422
04.01.2015;1238
05.01.2015;1514
06.01.2015;723
07.01.2015;1196
08.01.2015;1207
09.01.2015;426
10.01.2015;1043
11.01.2015;673
12.01.2015;1389
13.01.2015;1335
14.01.2015;813
15.01.2015;942
16.01.2015;179
17.01.2015;729
18.01.2015;1308
19.01.2015;800
20.01.2015;557
21.01.2015;772
22.01.2015;422
23.01.2015;333
24.01.2015;748
25.01.2015;1915
26.01.2015;487
27.01.2015;1133
28.01.2015;1071
29.01.2015;374
30.01.2015;571
31.01.2015;1129
01.02.2015;909
02.02.2015;1319
03.02.2015;1546
04.02.2015;1521
05.02.2015;991
06.02.2015;711
07.02.2015;812
08.02.2015;2485
09.02.2015;2298
10.02.2015;2510
11.02.2015;2519
12.02.2015;1734
13.02.2015;2046
14.02.2015;1141
15.02.2015;1649
16.02.2015;1259
17.02.2015;701
18.02.2015;622
19.02.2015;2505
20.02.2015;3065
21.02.2015;273
22.02.2015;2307
23.02.2015;646
24.02.2015;1754
25.02.2015;3226
26.02.2015;1854
27.02.2015;1163
28.02.2015;2849
01.03.2015;841
02.03.2015;2064
03.03.2015;3377
04.03.2015;1743
05.03.2015;3603
06.03.2015;3728
07.03.2015;3446
08.03.2015;3385
09.03.2015;3455
10.03.2015;2810
11.03.2015;3427
12.03.2015;4109
13.03.2015;3616
14.03.2015;3582
15.03.2015;2553
16.03.2015;3516
17.03.2015;3895
18.03.2015;3879
19.03.2015;3894
20.03.2015;2055
21.03.2015;747
22.03.2015;2172
23.03.2015;4291
24.03.2015;4113
25.03.2015;1300
26.03.2015;1856
27.03.2015;4392
28.03.2015;2487
29.03.2015;1351
30.03.2015;3465
31.03.2015;1922
01.04.2015;2001
02.04.2015;1936
03.04.2015;2570
04.04.2015;1501
05.04.2015;4958
06.04.2015;5417
07.04.2015;5490
08.04.2015;5521
09.04.2015;5459
10.04.2015;5085
11.04.2015;2874
12.04.2015;5366
13.04.2015;5547
14.04.2015;5297
15.04.2015;5474
16.04.2015;2298
17.04.2015;1748
18.04.2015;5554
19.04.2015;3321
20.04.2015;5892
21.04.2015;5917
22.04.2015;5623
23.04.2015;6016
24.04.2015;6092
25.04.2015;1877
26.04.2015;3821
27.04.2015;4183
28.04.2015;2616
29.04.2015;5301
30.04.2015;4873
01.05.2015;930
02.05.2015;4067
03.05.2015;1592
04.05.2015;2575
05.05.2015;872
06.05.2015;5651
07.05.2015;5897
08.05.2015;3080
09.05.2015;5253
10.05.2015;6417
11.05.2015;5959
12.05.2015;5992
13.05.2015;6035
14.05.2015;4846
15.05.2015;1215
16.05.2015;6374
17.05.2015;6557
18.05.2015;6688
19.05.2015;2638
20.05.2015;4053
21.05.2015;3611
22.05.2015;6183
23.05.2015;5944
24.05.2015;6142
25.05.2015;3293
26.05.2015;4891
27.05.2015;7004
28.05.2015;6925
29.05.2015;6705
30.05.2015;6210
31.05.2015;6658
01.06.2015;4609
02.06.2015;6614
03.06.2015;6740
04.06.2015;6857
05.06.2015;6613
06.06.2015;6830
07.06.2015;5773
08.06.2015;3765
09.06.2015;3961
10.06.2015;4180
11.06.2015;6595
12.06.2015;4171
13.06.2015;6496
14.06.2015;3909
15.06.2015;3679
16.06.2015;4635
17.06.2015;6650
18.06.2015;5109
19.06.2015;6072
20.06.2015;4660
21.06.2015;4521
22.06.2015;5417
23.06.2015;5825
24.06.2015;7138
25.06.2015;6548
26.06.2015;6550
27.06.2015;5539
28.06.2015;6972
29.06.2015;6425
30.06.2015;6875
01.07.2015;6822
02.07.2015;6517
03.07.2015;6118
04.07.2015;6609
05.07.2015;5991
06.07.2015;6149
07.07.2015;5678
08.07.2015;6693
09.07.2015;6841
10.07.2015;6960
11.07.2015;6598
12.07.2015;6188
13.07.2015;5761
14.07.2015;6626
15.07.2015;6521
16.07.2015;6694
17.07.2015;5591
18.07.2015;4937
19.07.2015;5952
20.07.2015;6525
21.07.2015;6547
22.07.2015;5118
23.07.2015;5894
24.07.2015;5997
25.07.2015;6068
26.07.2015;3035
27.07.2015;4953
28.07.2015;5871
29.07.2015;2063
30.07.2015;6046
31.07.2015;5382
01.08.2015;2117
02.08.2015;6293
03.08.2015;6244
04.08.2015;3097
05.08.2015;6209
06.08.2015;5503
07.08.2015;6005
08.08.2015;4351
09.08.2015;1273
10.08.2015;5247
11.08.2015;5216
12.08.2015;5737
13.08.2015;3754
14.08.2015;2940
15.08.2015;2805
16.08.2015;2760
17.08.2015;3989
18.08.2015;3787
19.08.2015;3543
20.08.2015;4748
21.08.2015;5675
22.08.2015;5639
23.08.2015;1830
24.08.2015;1017
25.08.2015;5627
26.08.2015;5560
27.08.2015;5047
28.08.2015;4721
29.08.2015;5076
30.08.2015;5143
31.08.2015;4980
01.09.2015;1614
02.09.2015;4453
03.09.2015;2818
04.09.2015;4547
05.09.2015;2216
06.09.2015;4036
07.09.2015;5076
08.09.2015;4889
09.09.2015;4541
10.09.2015;4795
11.09.2015;3933
12.09.2015;2905
13.09.2015;3215
14.09.2015;2855
15.09.2015;1691
16.09.2015;2027
17.09.2015;1408
18.09.2015;3140
19.09.2015;2800
20.09.2015;4427
21.09.2015;3686
22.09.2015;1928
23.09.2015;2105
24.09.2015;4211
25.09.2015;4050
26.09.2015;2652
27.09.2015;2086
28.09.2015;3820
29.09.2015;3439
30.09.2015;3755
01.10.2015;3421
02.10.2015;3471
03.10.2015;2097
04.10.2015;3509
05.10.2015;2173
06.10.2015;634
07.10.2015;1609
08.10.2015;3507
09.10.2015;3261
10.10.2015;1233
11.10.2015;2165
12.10.2015;1968
13.10.2015;1175
14.10.2015;1658
15.10.2015;903
16.10.2015;1251
17.10.2015;2414
18.10.2015;1959
19.10.2015;2041
20.10.2015;2704
21.10.2015;2613
22.10.2015;1440
23.10.2015;1044
24.10.2015;1691
25.10.2015;1798
26.10.2015;565
27.10.2015;887
28.10.2015;1000
29.10.2015;2194
30.10.2015;2126
31.10.2015;637
01.11.2015;1411
02.11.2015;1089
03.11.2015;754
04.11.2015;709
05.11.2015;1456
06.11.2015;2087
07.11.2015;2085
08.11.2015;2077
09.11.2015;2032
10.11.2015;2005
11.11.2015;742
12.11.2015;1020
13.11.2015;1258
14.11.2015;1687
15.11.2015;1731
16.11.2015;1630
17.11.2015;1253
18.11.2015;1888
19.11.2015;1669
20.11.2015;229
21.11.2015;770
22.11.2015;1586
23.11.2015;1578
24.11.2015;1431
25.11.2015;619
26.11.2015;856
27.11.2015;1123
28.11.2015;1213
29.11.2015;320
30.11.2015;1416
01.12.2015;858
02.12.2015;1257
03.12.2015;422
04.12.2015;309
05.12.2015;366
06.12.2015;1471
07.12.2015;525
08.12.2015;366
09.12.2015;1063
10.12.2015;857
11.12.2015;1424
12.12.2015;1404
13.12.2015;1202
14.12.2015;833
15.12.2015;488
16.12.2015;658
17.12.2015;527
18.12.2015;709
19.12.2015;446
20.12.2015;891
21.12.2015;417
22.12.2015;754
23.12.2015;976
24.12.2015;1044
25.12.2015;1311
26.12.2015;1360
27.12.2015;714
28.12.2015;462
29.12.2015;433
30.12.2015;487
31.12.2015;218
01.01.2016;520
02.01.2016;162
03.01.2016;871
04.01.2016;517
05.01.2016;1059
06.01.2016;636
07.01.2016;273
08.01.2016;227
09.01.2016;339
10.01.2016;270
11.01.2016;636
12.01.2016;262
13.01.2016;746
14.01.2016;454
15.01.2016;1350
16.01.2016;1235
17.01.2016;561
18.01.2016;896
19.01.2016;629
20.01.2016;396
21.01.2016;930
22.01.2016;1689
23.01.2016;1821
24.01.2016;1419
25.01.2016;1865
26.01.2016;1612
27.01.2016;1312
28.01.2016;1447
29.01.2016;1329
30.01.2016;1468
31.01.2016;447
01.02.2016;1610
02.02.2016;1321
03.02.2016;529
04.02.2016;820
05.02.2016;1749
06.02.2016;1487
07.02.2016;322
08.02.2016;645
09.02.2016;241
10.02.2016;851
11.02.2016;1712
12.02.2016;269
13.02.2016;735
14.02.2016;845
15.02.2016;851
16.02.2016;1053
17.02.2016;1059
18.02.2016;1935
19.02.2016;2223
20.02.2016;870
21.02.2016;3012
22.02.2016;1241
23.02.2016;882
24.02.2016;1147
25.02.2016;1559
26.02.2016;2416
27.02.2016;2360
28.02.2016;1489
29.02.2016;867
01.03.2016;3012
02.03.2016;1095
03.03.2016;1130
04.03.2016;611
05.03.2016;1103
06.03.2016;1725
07.03.2016;2731
08.03.2016;2420
09.03.2016;3381
10.03.2016;3857
11.03.2016;3215
12.03.2016;3051
13.03.2016;3141
14.03.2016;3514
15.03.2016;3209
16.03.2016;1850
17.03.2016;4199
18.03.2016;4290
19.03.2016;4372
20.03.2016;3655
21.03.2016;3990
22.03.2016;4378
23.03.2016;3971
24.03.2016;4502
25.03.2016;1766
26.03.2016;4842
27.03.2016;1555
28.03.2016;1574
29.03.2016;2064
30.03.2016;2487
31.03.2016;1528
01.04.2016;3082
02.04.2016;2349
03.04.2016;2295
04.04.2016;2009
05.04.2016;894
06.04.2016;4761
07.04.2016;3543
08.04.2016;963
09.04.2016;1284
10.04.2016;5397
11.04.2016;3495
12.04.2016;4590
13.04.2016;1798
14.04.2016;5488
15.04.2016;1381
16.04.2016;3440
17.04.2016;966
18.04.2016;2025
19.04.2016;6028
20.04.2016;5633
21.04.2016;4569
22.04.2016;4771
23.04.2016;1467
24.04.2016;3812
25.04.2016;3806
26.04.2016;2390
27.04.2016;5031
28.04.2016;6204
29.04.2016;6298
30.04.2016;2721
01.05.2016;1101
02.05.2016;5251
03.05.2016;3160
04.05.2016;6578
05.05.2016;6611
06.05.2016;6572
07.05.2016;6148
08.05.2016;6148
09.05.2016;2843
10.05.2016;5566
11.05.2016;1910
12.05.2016;2066
13.05.2016;1661
14.05.2016;3134
15.05.2016;6554
16.05.2016;4994
17.05.2016;4773
18.05.2016;5478
19.05.2016;3576
20.05.2016;6561
21.05.2016;6591
22.05.2016;4683
