Lieu;COMMUGNY
Paramètre;Vent moy.
Unité;m/sec
01.09.2014;2.3
02.09.2014;3.1
03.09.2014;2.3
04.09.2014;1.2
05.09.2014;1.1
06.09.2014;1.0
07.09.2014;1.1
08.09.2014;1.2
09.09.2014;0.8
10.09.2014;1.2
11.09.2014;1.6
12.09.2014;2.4
13.09.2014;2.5
14.09.2014;1.6
15.09.2014;1.2
16.09.2014;1.2
17.09.2014;1.0
18.09.2014;0.9
19.09.2014;1.0
20.09.2014;1.0
21.09.2014;1.2
22.09.2014;2.3
23.09.2014;2.2
24.09.2014;1.4
25.09.2014;1.5
26.09.2014;1.2
27.09.2014;1.3
28.09.2014;1.2
29.09.2014;0.9
30.09.2014;0.8
01.10.2014;1.1
02.10.2014;1.4
03.10.2014;1.0
04.10.2014;0.9
05.10.2014;1.2
06.10.2014;1.3
07.10.2014;1.7
08.10.2014;1.1
09.10.2014;1.1
10.10.2014;1.1
11.10.2014;1.0
12.10.2014;1.1
13.10.2014;1.0
14.10.2014;0.9
15.10.2014;0.8
16.10.2014;1.0
17.10.2014;1.5
18.10.2014;1.1
19.10.2014;1.1
20.10.2014;0.9
21.10.2014;2.3
22.10.2014;1.4
23.10.2014;1.9
24.10.2014;1.4
25.10.2014;0.9
26.10.2014;1.4
27.10.2014;0.7
28.10.2014;0.8
29.10.2014;1.2
30.10.2014;1.1
31.10.2014;1.1
01.11.2014;1.1
02.11.2014;1.1
03.11.2014;1.5
04.11.2014;1.6
05.11.2014;0.8
06.11.2014;1.4
07.11.2014;1.0
08.11.2014;1.3
09.11.2014;1.0
10.11.2014;0.7
11.11.2014;0.8
12.11.2014;0.7
13.11.2014;1.0
14.11.2014;0.7
15.11.2014;0.8
16.11.2014;1.4
17.11.2014;0.6
18.11.2014;1.1
19.11.2014;0.9
20.11.2014;1.1
21.11.2014;0.9
22.11.2014;0.8
23.11.2014;0.7
24.11.2014;0.8
25.11.2014;0.8
26.11.2014;0.6
27.11.2014;0.7
28.11.2014;1.2
29.11.2014;0.9
30.11.2014;0.9
01.12.2014;1.0
02.12.2014;0.9
03.12.2014;1.7
04.12.2014;0.6
05.12.2014;1.3
06.12.2014;2.3
07.12.2014;1.6
08.12.2014;1.6
09.12.2014;2.1
10.12.2014;1.7
11.12.2014;2.1
12.12.2014;2.3
13.12.2014;1.5
14.12.2014;0.8
15.12.2014;1.1
16.12.2014;0.7
17.12.2014;1.9
18.12.2014;1.6
19.12.2014;1.3
20.12.2014;2.0
21.12.2014;1.4
22.12.2014;1.1
23.12.2014;1.3
24.12.2014;1.8
25.12.2014;1.7
26.12.2014;1.5
27.12.2014;2.9
28.12.2014;2.6
29.12.2014;1.8
30.12.2014;1.8
31.12.2014;2.6
01.01.2015;1.3
02.01.2015;1.1
03.01.2015;2.5
04.01.2015;1.4
05.01.2015;1.3
06.01.2015;0.7
07.01.2015;0.9
08.01.2015;1.7
09.01.2015;2.4
10.01.2015;2.6
11.01.2015;1.9
12.01.2015;1.7
13.01.2015;2.8
14.01.2015;2.4
15.01.2015;2.8
16.01.2015;1.1
17.01.2015;1.4
18.01.2015;1.0
19.01.2015;0.7
20.01.2015;0.7
21.01.2015;1.4
22.01.2015;0.8
23.01.2015;2.8
24.01.2015;1.6
25.01.2015;3.2
26.01.2015;1.3
27.01.2015;1.4
28.01.2015;2.1
29.01.2015;3.3
30.01.2015;2.5
31.01.2015;1.7
01.02.2015;1.5
02.02.2015;1.5
03.02.2015;1.8
04.02.2015;3.9
05.02.2015;5.0
06.02.2015;4.5
07.02.2015;2.4
08.02.2015;3.6
09.02.2015;2.8
10.02.2015;1.8
11.02.2015;1.3
12.02.2015;1.2
13.02.2015;1.0
14.02.2015;1.3
15.02.2015;1.1
16.02.2015;1.2
17.02.2015;1.0
18.02.2015;2.0
19.02.2015;1.3
20.02.2015;2.2
21.02.2015;1.5
22.02.2015;1.9
23.02.2015;1.9
24.02.2015;1.6
25.02.2015;1.8
26.02.2015;1.1
27.02.2015;1.6
28.02.2015;1.8
01.03.2015;2.6
02.03.2015;2.8
03.03.2015;1.5
04.03.2015;2.0
05.03.2015;4.5
06.03.2015;3.3
07.03.2015;1.7
08.03.2015;1.2
09.03.2015;1.3
10.03.2015;1.1
11.03.2015;1.9
12.03.2015;2.2
13.03.2015;1.3
14.03.2015;1.8
15.03.2015;1.7
16.03.2015;1.2
17.03.2015;1.3
18.03.2015;1.3
19.03.2015;1.6
20.03.2015;1.0
21.03.2015;1.1
22.03.2015;3.1
23.03.2015;1.2
24.03.2015;1.4
