Lieu;CHANGINS
Paramètre;Température moy.
Unité;ºC
01.09.2014;16.7
02.09.2014;17.0
03.09.2014;16.8
04.09.2014;17.4
05.09.2014;18.8
06.09.2014;19.6
07.09.2014;20.2
08.09.2014;20.2
09.09.2014;18.9
10.09.2014;18.4
11.09.2014;16.6
12.09.2014;15.9
13.09.2014;17.0
14.09.2014;16.8
15.09.2014;17.4
16.09.2014;18.7
17.09.2014;18.7
18.09.2014;19.0
19.09.2014;17.2
20.09.2014;18.8
21.09.2014;17.9
22.09.2014;15.4
23.09.2014;13.0
24.09.2014;12.6
25.09.2014;13.6
26.09.2014;13.8
27.09.2014;14.9
28.09.2014;16.2
29.09.2014;16.2
30.09.2014;16.5
01.10.2014;16.5
02.10.2014;16.6
03.10.2014;15.7
04.10.2014;15.9
05.10.2014;14.8
06.10.2014;15.5
07.10.2014;15.9
08.10.2014;16.4
09.10.2014;17.6
10.10.2014;16.8
11.10.2014;15.5
12.10.2014;14.9
13.10.2014;14.0
14.10.2014;13.6
15.10.2014;14.6
16.10.2014;14.6
17.10.2014;17.2
18.10.2014;14.8
19.10.2014;16.0
20.10.2014;16.3
21.10.2014;15.6
22.10.2014;7.1
23.10.2014;8.3
24.10.2014;8.7
25.10.2014;11.2
26.10.2014;11.5
27.10.2014;12.2
28.10.2014;11.3
29.10.2014;10.3
30.10.2014;10.7
31.10.2014;10.4
01.11.2014;10.5
02.11.2014;10.4
03.11.2014;10.5
04.11.2014;12.2
05.11.2014;6.4
06.11.2014;7.0
07.11.2014;6.4
08.11.2014;7.0
09.11.2014;7.5
10.11.2014;9.1
11.11.2014;9.1
12.11.2014;9.1
13.11.2014;9.3
14.11.2014;8.8
15.11.2014;8.2
16.11.2014;8.6
17.11.2014;6.6
18.11.2014;6.6
19.11.2014;7.4
20.11.2014;6.3
21.11.2014;6.6
22.11.2014;6.0
23.11.2014;6.9
24.11.2014;8.5
25.11.2014;9.4
26.11.2014;9.8
27.11.2014;9.6
28.11.2014;8.0
29.11.2014;6.1
30.11.2014;6.1
01.12.2014;5.3
02.12.2014;5.1
03.12.2014;5.7
04.12.2014;6.2
05.12.2014;6.0
06.12.2014;5.1
07.12.2014;4.9
08.12.2014;4.5
09.12.2014;3.1
10.12.2014;2.1
11.12.2014;5.2
12.12.2014;5.6
13.12.2014;8.8
14.12.2014;7.6
15.12.2014;8.0
16.12.2014;7.0
17.12.2014;4.6
18.12.2014;7.6
19.12.2014;9.6
20.12.2014;8.2
21.12.2014;4.4
22.12.2014;3.3
23.12.2014;3.8
24.12.2014;5.7
25.12.2014;6.3
26.12.2014;2.6
27.12.2014;1.1
28.12.2014;-0.3
29.12.2014;-3.3
30.12.2014;-0.1
31.12.2014;1.1
01.01.2015;-1.1
02.01.2015;-0.1
03.01.2015;4.4
04.01.2015;7.0
05.01.2015;1.4
06.01.2015;-1.4
07.01.2015;-0.4
08.01.2015;3.7
09.01.2015;6.4
10.01.2015;11.7
11.01.2015;6.0
12.01.2015;2.6
13.01.2015;7.1
